Wickets,Player,Team
14,Bhuvneshwar Kumar,Royal Challengers Bengaluru
Jofra Archer,Rajasthan Royals,
Anshul Kamboj,Chennai Super Kings,
Eshan Malinga,Sunrisers Hyderabad,
13,Prince Yadav,Lucknow Super Giants
Kagiso Rabada,Rajasthan Royals,
